"Index","KernelName","gpu-id","queue-id","queue-index","pid","tid","grd","wgr","lds","scr","arch_vgpr","accum_vgpr","sgpr","wave_size","sig","obj","DispatchNs","BeginNs","EndNs","CompleteNs","DurationNs"
505,"void dequantize_block_q4_0<__half>(void const*, __half*, int) [clone .kd]",4,1,504,149894,149894,229376,32,0,0,12,0,16,64,"0x0","0x77a50f5d2b80",7172074112604,7172198970894,7172198998745,7172199004958,27851
506,"void dequantize_block_q4_0<__half>(void const*, __half*, int) [clone .kd]",4,1,505,149894,149894,229376,32,0,0,12,0,16,64,"0x0","0x77a50f5d2b80",7172074114097,7172198998745,7172199026004,7172199031471,27259
507,"void flash_attn_tile<256, 256, 4, 2, false>(char const*, char const*, char const*, char const*, char const*, int const*, float*, HIP_vector_type<float, 2u>*, float, float, float, float, unsigned int, float, int, HIP_vector_type<unsigned int, 3u>, int, int, int, int, int, int, int, int, int, int, int, long, int, int, long, int, int, int, int, int, long) [clone .kd]",4,1,506,149894,149894,28416,256,22528,1104,128,0,64,64,"0x0","0x77a4ba787e00",7172074116363,7172199273707,7172200064813,7172200084056,791106
508,"void flash_attn_combine_results<256>(float const*, HIP_vector_type<float, 2u> const*, float*, int) [clone .kd]",4,1,507,149894,149894,6144,256,512,0,20,0,32,64,"0x0","0x77a4ba787cc0",7172074117978,7172200064813,7172200087628,7172200095565,22815
509,"void dequantize_block_q4_0<__half>(void const*, __half*, int) [clone .kd]",4,1,508,149894,149894,229376,32,0,0,12,0,16,64,"0x0","0x77a50f5d2b80",7172074119633,7172200087628,7172200112517,7172200117845,24889
510,"void dequantize_block_q4_0<__half>(void const*, __half*, int) [clone .kd]",4,1,509,149894,149894,229376,32,0,0,12,0,16,64,"0x0","0x77a50f5d2b80",7172074121153,7172200112517,7172200137257,7172200142698,24740
511,"void flash_attn_tile<256, 256, 4, 6, false>(char const*, char const*, char const*, char const*, char const*, int const*, float*, HIP_vector_type<float, 2u>*, float, float, float, float, unsigned int, float, int, HIP_vector_type<unsigned int, 3u>, int, int, int, int, int, int, int, int, int, int, int, long, int, int, long, int, int, int, int, int, long) [clone .kd]",4,1,510,149894,149894,21504,384,32768,1432,128,0,48,64,"0x0","0x77a4ba787e80",7172074123341,7172200360515,7172200904808,7172200922406,544293
512,"void flash_attn_combine_results<256>(float const*, HIP_vector_type<float, 2u> const*, float*, int) [clone .kd]",4,1,511,149894,149894,6144,256,512,0,20,0,32,64,"0x0","0x77a4ba787cc0",7172074124934,7172200930438,7172200958141,7172200963399,27703
513,"void dequantize_block_q4_0<__half>(void const*, __half*, int) [clone .kd]",4,1,512,149894,149894,229376,32,0,0,12,0,16,64,"0x0","0x77a50f5d2b80",7172074126676,7172200958141,7172200982882,7172200988320,24741
514,"void dequantize_block_q4_0<__half>(void const*, __half*, int) [clone .kd]",4,1,513,149894,149894,229376,32,0,0,12,0,16,64,"0x0","0x77a50f5d2b80",7172074128224,7172200982882,7172201007474,7172201013288,24592
515,"void flash_attn_tile<256, 256, 4, 2, false>(char const*, char const*, char const*, char const*, char const*, int const*, float*, HIP_vector_type<float, 2u>*, float, float, float, float, unsigned int, float, int, HIP_vector_type<unsigned int, 3u>, int, int, int, int, int, int, int, int, int, int, int, long, int, int, long, int, int, int, int, int, long) [clone .kd]",4,1,514,149894,149894,28416,256,22528,1104,128,0,64,64,"0x0","0x77a4ba787e00",7172074130393,7172201230288,7172201952506,7172201970726,722218
516,"void flash_attn_combine_results<256>(float const*, HIP_vector_type<float, 2u> const*, float*, int) [clone .kd]",4,1,515,149894,149894,6144,256,512,0,20,0,32,64,"0x0","0x77a4ba787cc0",7172074132074,7172201952506,7172201975320,7172201982545,22814
517,"void dequantize_block_q4_0<__half>(void const*, __half*, int) [clone .kd]",4,1,516,149894,149894,229376,32,0,0,12,0,16,64,"0x0","0x77a50f5d2b80",7172074133889,7172201975320,7172202000506,7172202006265,25186
518,"void dequantize_block_q4_0<__half>(void const*, __half*, int) [clone .kd]",4,1,517,149894,149894,229376,32,0,0,12,0,16,64,"0x0","0x77a50f5d2b80",7172074135412,7172202000506,7172202025246,7172202030520,24740
519,"void flash_attn_tile<256, 256, 4, 6, false>(char const*, char const*, char const*, char const*, char const*, int const*, float*, HIP_vector_type<float, 2u>*, float, float, float, float, unsigned int, float, int, HIP_vector_type<unsigned int, 3u>, int, int, int, int, int, int, int, int, int, int, int, long, int, int, long, int, int, int, int, int, long) [clone .kd]",4,1,518,149894,149894,21504,384,32768,1432,128,0,48,64,"0x0","0x77a4ba787e80",7172074137648,7172202248504,7172202797390,7172202815104,548886
520,"void flash_attn_combine_results<256>(float const*, HIP_vector_type<float, 2u> const*, float*, int) [clone .kd]",4,1,519,149894,149894,6144,256,512,0,20,0,32,64,"0x0","0x77a4ba787cc0",7172074139474,7172202817242,7172202846575,7172202852378,29333
521,"void dequantize_block_q4_0<__half>(void const*, __half*, int) [clone .kd]",4,1,520,149894,149894,229376,32,0,0,12,0,16,64,"0x0","0x77a50f5d2b80",7172074150193,7172202846575,7172202871463,7172202877151,24888
522,"void dequantize_block_q4_0<__half>(void const*, __half*, int) [clone .kd]",4,1,521,149894,149894,229376,32,0,0,12,0,16,64,"0x0","0x77a50f5d2b80",7172074154818,7172202871463,7172202895908,7172202901510,24445
523,"void flash_attn_tile<256, 256, 4, 2, false>(char const*, char const*, char const*, char const*, char const*, int const*, float*, HIP_vector_type<float, 2u>*, float, float, float, float, unsigned int, float, int, HIP_vector_type<unsigned int, 3u>, int, int, int, int, int, int, int, int, int, int, int, long, int, int, long, int, int, int, int, int, long) [clone .kd]",4,1,522,149894,149894,28416,256,22528,1104,128,0,64,64,"0x0","0x77a4ba787e00",7172074157257,7172203118721,7172203856643,7172203875062,737922
524,"void flash_attn_combine_results<256>(float const*, HIP_vector_type<float, 2u> const*, float*, int) [clone .kd]",4,1,523,149894,149894,6144,256,512,0,20,0,32,64,"0x0","0x77a4ba787cc0",7172074159073,7172203856643,7172203881828,7172203887549,25185
525,"void dequantize_block_q4_0<__half>(void const*, __half*, int) [clone .kd]",4,1,524,149894,149894,229376,32,0,0,12,0,16,64,"0x0","0x77a50f5d2b80",7172074160977,7172203881828,7172203909828,7172203915346,28000
526,"void dequantize_block_q4_0<__half>(void const*, __half*, int) [clone .kd]",4,1,525,149894,149894,229376,32,0,0,12,0,16,64,"0x0","0x77a50f5d2b80",7172074162667,7172203909828,7172203936791,7172203942284,26963
527,"void flash_attn_tile<256, 256, 4, 6, false>(char const*, char const*, char const*, char const*, char const*, int const*, float*, HIP_vector_type<float, 2u>*, float, float, float, float, unsigned int, float, int, HIP_vector_type<unsigned int, 3u>, int, int, int, int, int, int, int, int, int, int, int, long, int, int, long, int, int, int, int, int, long) [clone .kd]",4,1,526,149894,149894,21504,384,32768,1432,128,0,48,64,"0x0","0x77a4ba787e80",7172074165028,7172204185234,7172204791600,7172204809353,606366
528,"void flash_attn_combine_results<256>(float const*, HIP_vector_type<float, 2u> const*, float*, int) [clone .kd]",4,1,527,149894,149894,6144,256,512,0,20,0,32,64,"0x0","0x77a4ba787cc0",7172074167048,7172204816341,7172204847304,7172204853045,30963
529,"void dequantize_block_q4_0<__half>(void const*, __half*, int) [clone .kd]",4,1,528,149894,149894,229376,32,0,0,12,0,16,64,"0x0","0x77a50f5d2b80",7172074168815,7172204847304,7172204875304,7172204881436,28000
530,"void dequantize_block_q4_0<__half>(void const*, __half*, int) [clone .kd]",4,1,529,149894,149894,229376,32,0,0,12,0,16,64,"0x0","0x77a50f5d2b80",7172074170319,7172204875304,7172204902563,7172204908577,27259
531,"void flash_attn_tile<256, 256, 4, 2, false>(char const*, char const*, char const*, char const*, char const*, int const*, float*, HIP_vector_type<float, 2u>*, float, float, float, float, unsigned int, float, int, HIP_vector_type<unsigned int, 3u>, int, int, int, int, int, int, int, int, int, int, int, long, int, int, long, int, int, int, int, int, long) [clone .kd]",4,1,530,149894,149894,28416,256,22528,1104,128,0,64,64,"0x0","0x77a4ba787e00",7172074172561,7172205150413,7172205941075,7172205958624,790662
532,"void flash_attn_combine_results<256>(float const*, HIP_vector_type<float, 2u> const*, float*, int) [clone .kd]",4,1,531,149894,149894,6144,256,512,0,20,0,32,64,"0x0","0x77a4ba787cc0",7172074174585,7172205941075,7172205964779,7172205969935,23704
533,"void dequantize_block_q4_0<__half>(void const*, __half*, int) [clone .kd]",4,1,532,149894,149894,229376,32,0,0,12,0,16,64,"0x0","0x77a50f5d2b80",7172074176625,7172205964779,7172205989519,7172205995561,24740
534,"void dequantize_block_q4_0<__half>(void const*, __half*, int) [clone .kd]",4,1,533,149894,149894,229376,32,0,0,12,0,16,64,"0x0","0x77a50f5d2b80",7172074178260,7172205989519,7172206014112,7172206019602,24593
535,"void flash_attn_tile<256, 256, 4, 6, false>(char const*, char const*, char const*, char const*, char const*, int const*, float*, HIP_vector_type<float, 2u>*, float, float, float, float, unsigned int, float, int, HIP_vector_type<unsigned int, 3u>, int, int, int, int, int, int, int, int, int, int, int, long, int, int, long, int, int, int, int, int, long) [clone .kd]",4,1,534,149894,149894,21504,384,32768,1432,128,0,48,64,"0x0","0x77a4ba787e80",7172074180712,7172206237518,7172206789070,7172206806452,551552
536,"void flash_attn_combine_results<256>(float const*, HIP_vector_type<float, 2u> const*, float*, int) [clone .kd]",4,1,535,149894,149894,6144,256,512,0,20,0,32,64,"0x0","0x77a4ba787cc0",7172074182555,7172206862848,7172206891884,7172206897146,29036
