"Index","KernelName","gpu-id","queue-id","queue-index","pid","tid","grd","wgr","lds","scr","arch_vgpr","accum_vgpr","sgpr","wave_size","sig","obj","DispatchNs","BeginNs","EndNs","CompleteNs","DurationNs"
225,"void dequantize_block_q4_0<__half>(void const*, __half*, int) [clone .kd]",4,1,224,70188,70188,229376,32,0,0,12,0,16,64,"0x0","0x76bb12ad2b80",3897182186129,3897235237343,3897235260750,3897235270193,23407
226,"void dequantize_block_q4_0<__half>(void const*, __half*, int) [clone .kd]",4,1,225,70188,70188,229376,32,0,0,12,0,16,64,"0x0","0x76bb12ad2b80",3897182187821,3897235260750,3897235284008,3897235292094,23258
227,"void flash_attn_tile<256, 256, 4, 2, false>(char const*, char const*, char const*, char const*, char const*, int const*, float*, HIP_vector_type<float, 2u>*, float, float, float, float, unsigned int, float, int, HIP_vector_type<unsigned int, 3u>, int, int, int, int, int, int, int, int, int, int, int, long, int, int, long, int, int, int, int, int, long) [clone .kd]",4,1,226,70188,70188,28416,256,22528,1104,128,0,64,64,"0x0","0x76baa4d869c0",3897182190267,3897235494077,3897236187541,3897236266449,693464
228,"void flash_attn_combine_results<256>(float const*, HIP_vector_type<float, 2u> const*, float*, int) [clone .kd]",4,1,227,70188,70188,6144,256,512,0,20,0,32,64,"0x0","0x76baa4d86880",3897182192027,3897236187541,3897236207097,3897236277425,19556
229,"void dequantize_block_q4_0<__half>(void const*, __half*, int) [clone .kd]",4,1,228,70188,70188,229376,32,0,0,12,0,16,64,"0x0","0x76bb12ad2b80",3897182193767,3897236207097,3897236230355,3897236279620,23258
230,"void dequantize_block_q4_0<__half>(void const*, __half*, int) [clone .kd]",4,1,229,70188,70188,229376,32,0,0,12,0,16,64,"0x0","0x76bb12ad2b80",3897182195692,3897236230355,3897236252873,3897236281274,22518
231,"void flash_attn_tile<256, 256, 4, 6, false>(char const*, char const*, char const*, char const*, char const*, int const*, float*, HIP_vector_type<float, 2u>*, float, float, float, float, unsigned int, float, int, HIP_vector_type<unsigned int, 3u>, int, int, int, int, int, int, int, int, int, int, int, long, int, int, long, int, int, int, int, int, long) [clone .kd]",4,1,230,70188,70188,21504,384,32768,1432,128,0,48,64,"0x0","0x76baa4d86a40",3897182198053,3897236442943,3897236977596,3897237007732,534653
232,"void flash_attn_combine_results<256>(float const*, HIP_vector_type<float, 2u> const*, float*, int) [clone .kd]",4,1,231,70188,70188,6144,256,512,0,20,0,32,64,"0x0","0x76baa4d86880",3897182199788,3897237038631,3897237063520,3897237070533,24889
233,"void dequantize_block_q4_0<__half>(void const*, __half*, int) [clone .kd]",4,1,232,70188,70188,229376,32,0,0,12,0,16,64,"0x0","0x76bb12ad2b80",3897182201531,3897237063520,3897237086778,3897237094591,23258
234,"void dequantize_block_q4_0<__half>(void const*, __half*, int) [clone .kd]",4,1,233,70188,70188,229376,32,0,0,12,0,16,64,"0x0","0x76bb12ad2b80",3897182203233,3897237086778,3897237108852,3897237117761,22074
