"Index","KernelName","gpu-id","queue-id","queue-index","pid","tid","grd","wgr","lds","scr","arch_vgpr","accum_vgpr","sgpr","wave_size","sig","obj","DispatchNs","BeginNs","EndNs","CompleteNs","DurationNs"
408,"void flash_attn_combine_results<256>(float const*, HIP_vector_type<float, 2u> const*, float*, int) [clone .kd]",4,1,407,149960,149960,6144,256,512,0,20,0,32,64,"0x0","0x7ddd5e587cc0",7172732775998,7172834105852,7172834133852,7172834139579,28000
409,"void dequantize_block_q4_0<__half>(void const*, __half*, int) [clone .kd]",4,1,408,149960,149960,229376,32,0,0,12,0,16,64,"0x0","0x7dddb3bd2b80",7172732777757,7172834133852,7172834158888,7172834164659,25036
410,"void dequantize_block_q4_0<__half>(void const*, __half*, int) [clone .kd]",4,1,409,149960,149960,229376,32,0,0,12,0,16,64,"0x0","0x7dddb3bd2b80",7172732779500,7172834158888,7172834183481,7172834189441,24593
411,"void flash_attn_tile<256, 256, 4, 2, false>(char const*, char const*, char const*, char const*, char const*, int const*, float*, HIP_vector_type<float, 2u>*, float, float, float, float, unsigned int, float, int, HIP_vector_type<unsigned int, 3u>, int, int, int, int, int, int, int, int, int, int, int, long, int, int, long, int, int, int, int, int, long) [clone .kd]",4,1,410,149960,149960,28416,256,22528,1104,128,0,64,64,"0x0","0x7ddd5e587e00",7172732781863,7172834406146,7172835134881,7172835154553,728735
412,"void flash_attn_combine_results<256>(float const*, HIP_vector_type<float, 2u> const*, float*, int) [clone .kd]",4,1,411,149960,149960,6144,256,512,0,20,0,32,64,"0x0","0x7ddd5e587cc0",7172732783708,7172835134881,7172835156955,7172835169768,22074
413,"void dequantize_block_q4_0<__half>(void const*, __half*, int) [clone .kd]",4,1,412,149960,149960,229376,32,0,0,12,0,16,64,"0x0","0x7dddb3bd2b80",7172732785613,7172835156955,7172835181992,7172835187256,25037
414,"void dequantize_block_q4_0<__half>(void const*, __half*, int) [clone .kd]",4,1,413,149960,149960,229376,32,0,0,12,0,16,64,"0x0","0x7dddb3bd2b80",7172732787200,7172835181992,7172835206584,7172835211792,24592
415,"void flash_attn_tile<256, 256, 4, 6, false>(char const*, char const*, char const*, char const*, char const*, int const*, float*, HIP_vector_type<float, 2u>*, float, float, float, float, unsigned int, float, int, HIP_vector_type<unsigned int, 3u>, int, int, int, int, int, int, int, int, int, int, int, long, int, int, long, int, int, int, int, int, long) [clone .kd]",4,1,414,149960,149960,21504,384,32768,1432,128,0,48,64,"0x0","0x7ddd5e587e80",7172732789505,7172835429546,7172835975319,7172835994460,545773
416,"void flash_attn_combine_results<256>(float const*, HIP_vector_type<float, 2u> const*, float*, int) [clone .kd]",4,1,415,149960,149960,6144,256,512,0,20,0,32,64,"0x0","0x7ddd5e587cc0",7172732791234,7172836042430,7172836070282,7172836075546,27852
417,"void dequantize_block_q4_0<__half>(void const*, __half*, int) [clone .kd]",4,1,416,149960,149960,229376,32,0,0,12,0,16,64,"0x0","0x7dddb3bd2b80",7172732793196,7172836070282,7172836093392,7172836098239,23110
418,"void dequantize_block_q4_0<__half>(void const*, __half*, int) [clone .kd]",4,1,417,149960,149960,229376,32,0,0,12,0,16,64,"0x0","0x7dddb3bd2b80",7172732795065,7172836093392,7172836116207,7172836122251,22815
419,"void flash_attn_tile<256, 256, 4, 2, false>(char const*, char const*, char const*, char const*, char const*, int const*, float*, HIP_vector_type<float, 2u>*, float, float, float, float, unsigned int, float, int, HIP_vector_type<unsigned int, 3u>, int, int, int, int, int, int, int, int, int, int, int, long, int, int, long, int, int, int, int, int, long) [clone .kd]",4,1,418,149960,149960,28416,256,22528,1104,128,0,64,64,"0x0","0x7ddd5e587e00",7172732797401,7172836325983,7172837043904,7172837064536,717921
420,"void flash_attn_combine_results<256>(float const*, HIP_vector_type<float, 2u> const*, float*, int) [clone .kd]",4,1,419,149960,149960,6144,256,512,0,20,0,32,64,"0x0","0x7ddd5e587cc0",7172732799265,7172837043904,7172837066570,7172837078329,22666
421,"void dequantize_block_q4_0<__half>(void const*, __half*, int) [clone .kd]",4,1,420,149960,149960,229376,32,0,0,12,0,16,64,"0x0","0x7dddb3bd2b80",7172732801031,7172837066570,7172837091755,7172837097823,25185
422,"void dequantize_block_q4_0<__half>(void const*, __half*, int) [clone .kd]",4,1,421,149960,149960,229376,32,0,0,12,0,16,64,"0x0","0x7dddb3bd2b80",7172732802611,7172837091755,7172837116348,7172837121548,24593
423,"void flash_attn_tile<256, 256, 4, 6, false>(char const*, char const*, char const*, char const*, char const*, int const*, float*, HIP_vector_type<float, 2u>*, float, float, float, float, unsigned int, float, int, HIP_vector_type<unsigned int, 3u>, int, int, int, int, int, int, int, int, int, int, int, long, int, int, long, int, int, int, int, int, long) [clone .kd]",4,1,422,149960,149960,21504,384,32768,1432,128,0,48,64,"0x0","0x7ddd5e587e80",7172732804850,7172837339754,7172837886861,7172837906280,547107
424,"void flash_attn_combine_results<256>(float const*, HIP_vector_type<float, 2u> const*, float*, int) [clone .kd]",4,1,423,149960,149960,6144,256,512,0,20,0,32,64,"0x0","0x7ddd5e587cc0",7172732806785,7172837965378,7172837993823,7172837999518,28445
425,"void dequantize_block_q4_0<__half>(void const*, __half*, int) [clone .kd]",4,1,424,149960,149960,229376,32,0,0,12,0,16,64,"0x0","0x7dddb3bd2b80",7172732808669,7172837993823,7172838018711,7172838024826,24888
426,"void dequantize_block_q4_0<__half>(void const*, __half*, int) [clone .kd]",4,1,425,149960,149960,229376,32,0,0,12,0,16,64,"0x0","0x7dddb3bd2b80",7172732810301,7172838018711,7172838043008,7172838048157,24297
